<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDJPY,20010102,233700,64.26,64.26,64.26,64.26,4
AUDJPY,20010102,233800,64.26,64.26,64.26,64.26,4
AUDJPY,20010102,233900,64.26,64.26,64.26,64.26,4
AUDJPY,20010102,234000,64.26,64.26,64.26,64.26,4
AUDJPY,20010102,234100,64.26,64.26,64.26,64.26,4
AUDJPY,20010102,234200,64.26,64.26,64.26,64.26,4
AUDJPY,20010102,234300,64.26,64.26,64.26,64.26,4
AUDJPY,20010102,234400,64.26,64.26,64.26,64.26,4
AUDJPY,20010102,234500,64.26,64.26,64.26,64.26,4
AUDJPY,20010102,234600,64.26,64.26,64.26,64.26,4
AUDJPY,20010102,234700,64.27,64.27,64.27,64.27,4
AUDJPY,20010102,234800,64.27,64.29,64.27,64.29,4
AUDJPY,20010102,234900,64.29,64.29,64.29,64.29,4
AUDJPY,20010102,235000,64.29,64.30,64.29,64.30,4
AUDJPY,20010102,235100,64.30,64.31,64.30,64.31,4
AUDJPY,20010102,235200,64.30,64.31,64.30,64.31,4
AUDJPY,20010102,235300,64.31,64.31,64.31,64.31,4
AUDJPY,20010102,235400,64.31,64.31,64.31,64.31,4
AUDJPY,20010102,235500,64.32,64.32,64.32,64.32,4
AUDJPY,20010102,235600,64.33,64.33,64.33,64.33,4
AUDJPY,20010102,235700,64.33,64.34,64.33,64.34,4
AUDJPY,20010102,235800,64.35,64.35,64.35,64.35,4
AUDJPY,20010102,235900,64.35,64.35,64.35,64.35,4
AUDJPY,20010103,000000,64.30,64.30,64.30,64.30,4
AUDJPY,20010103,000100,64.30,64.30,64.30,64.30,4
AUDJPY,20010103,000200,64.30,64.30,64.30,64.30,4
AUDJPY,20010103,000300,64.34,64.34,64.34,64.34,4
AUDJPY,20010103,000400,64.34,64.34,64.34,64.34,4
AUDJPY,20010103,000500,64.34,64.35,64.34,64.35,4
AUDJPY,20010103,000600,64.35,64.35,64.35,64.35,4
AUDJPY,20010103,000700,64.35,64.36,64.35,64.36,4
AUDJPY,20010103,000800,64.37,64.37,64.37,64.37,4
AUDJPY,20010103,000900,64.37,64.39,64.37,64.39,4
AUDJPY,20010103,001000,64.39,64.39,64.39,64.39,4
AUDJPY,20010103,001100,64.39,64.39,64.39,64.39,4
AUDJPY,20010103,001200,64.40,64.41,64.40,64.41,4
AUDJPY,20010103,001300,64.41,64.41,64.41,64.41,4
AUDJPY,20010103,001400,64.41,64.44,64.41,64.44,4
AUDJPY,20010103,001500,64.44,64.44,64.43,64.43,4
AUDJPY,20010103,001600,64.43,64.43,64.43,64.43,4
AUDJPY,20010103,001700,64.43,64.48,64.43,64.48,4
AUDJPY,20010103,001800,64.48,64.48,64.48,64.48,4
AUDJPY,20010103,001900,64.48,64.48,64.47,64.47,4
AUDJPY,20010103,002000,64.46,64.46,64.45,64.46,4
AUDJPY,20010103,002100,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,002200,64.46,64.46,64.45,64.45,4
AUDJPY,20010103,002300,64.44,64.45,64.44,64.45,4
AUDJPY,20010103,002400,64.45,64.45,64.45,64.45,4
AUDJPY,20010103,002500,64.45,64.45,64.44,64.45,4
AUDJPY,20010103,002600,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,002700,64.47,64.48,64.47,64.48,4
AUDJPY,20010103,002800,64.48,64.48,64.46,64.46,4
AUDJPY,20010103,002900,64.46,64.48,64.45,64.47,4
AUDJPY,20010103,003000,64.47,64.48,64.47,64.48,4
AUDJPY,20010103,003100,64.48,64.49,64.48,64.49,4
AUDJPY,20010103,003200,64.49,64.49,64.49,64.49,4
AUDJPY,20010103,003300,64.48,64.48,64.47,64.47,4
AUDJPY,20010103,003400,64.47,64.47,64.46,64.46,4
AUDJPY,20010103,003500,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,003600,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,003700,64.46,64.46,64.44,64.44,4
AUDJPY,20010103,003800,64.44,64.44,64.44,64.44,4
AUDJPY,20010103,003900,64.44,64.45,64.44,64.45,4
AUDJPY,20010103,004000,64.45,64.45,64.45,64.45,4
AUDJPY,20010103,004100,64.45,64.45,64.45,64.45,4
AUDJPY,20010103,004200,64.45,64.45,64.45,64.45,4
AUDJPY,20010103,004300,64.45,64.45,64.45,64.45,4
AUDJPY,20010103,004400,64.45,64.45,64.44,64.44,4
AUDJPY,20010103,004500,64.44,64.44,64.44,64.44,4
AUDJPY,20010103,004600,64.44,64.44,64.43,64.43,4
AUDJPY,20010103,004700,64.43,64.43,64.42,64.42,4
AUDJPY,20010103,004800,64.42,64.42,64.42,64.42,4
AUDJPY,20010103,004900,64.42,64.43,64.42,64.43,4
AUDJPY,20010103,005000,64.44,64.44,64.44,64.44,4
AUDJPY,20010103,005100,64.44,64.44,64.44,64.44,4
AUDJPY,20010103,005200,64.44,64.44,64.44,64.44,4
AUDJPY,20010103,005300,64.43,64.43,64.42,64.42,4
AUDJPY,20010103,005400,64.42,64.42,64.42,64.42,4
AUDJPY,20010103,005500,64.42,64.42,64.42,64.42,4
AUDJPY,20010103,005600,64.42,64.42,64.40,64.40,4
AUDJPY,20010103,005700,64.40,64.42,64.40,64.42,4
AUDJPY,20010103,005800,64.42,64.42,64.42,64.42,4
AUDJPY,20010103,005900,64.42,64.42,64.42,64.42,4
AUDJPY,20010103,010000,64.42,64.42,64.42,64.42,4
AUDJPY,20010103,010100,64.42,64.42,64.42,64.42,4
AUDJPY,20010103,010200,64.42,64.45,64.42,64.45,4
AUDJPY,20010103,010300,64.46,64.48,64.46,64.48,4
AUDJPY,20010103,010400,64.48,64.48,64.48,64.48,4
AUDJPY,20010103,010500,64.48,64.48,64.47,64.47,4
AUDJPY,20010103,010600,64.47,64.47,64.47,64.47,4
AUDJPY,20010103,010700,64.47,64.47,64.46,64.46,4
AUDJPY,20010103,010800,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,010900,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,011000,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,011100,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,011200,64.46,64.47,64.46,64.47,4
AUDJPY,20010103,011300,64.48,64.49,64.48,64.49,4
AUDJPY,20010103,011400,64.49,64.50,64.49,64.50,4
AUDJPY,20010103,011500,64.51,64.51,64.51,64.51,4
AUDJPY,20010103,011600,64.52,64.53,64.52,64.53,4
AUDJPY,20010103,011700,64.54,64.56,64.54,64.55,4
AUDJPY,20010103,011800,64.54,64.54,64.49,64.50,4
AUDJPY,20010103,011900,64.51,64.55,64.51,64.55,4
AUDJPY,20010103,012000,64.55,64.56,64.55,64.56,4
AUDJPY,20010103,012100,64.57,64.57,64.57,64.57,4
AUDJPY,20010103,012200,64.57,64.57,64.57,64.57,4
AUDJPY,20010103,012300,64.57,64.57,64.57,64.57,4
AUDJPY,20010103,012400,64.57,64.57,64.57,64.57,4
AUDJPY,20010103,012500,64.57,64.57,64.57,64.57,4
AUDJPY,20010103,012600,64.57,64.57,64.57,64.57,4
AUDJPY,20010103,012700,64.57,64.57,64.55,64.55,4
AUDJPY,20010103,012800,64.55,64.55,64.55,64.55,4
AUDJPY,20010103,012900,64.55,64.55,64.55,64.55,4
AUDJPY,20010103,013000,64.55,64.55,64.55,64.55,4
AUDJPY,20010103,013100,64.56,64.56,64.56,64.56,4
AUDJPY,20010103,013200,64.56,64.56,64.56,64.56,4
AUDJPY,20010103,013300,64.56,64.56,64.56,64.56,4
AUDJPY,20010103,013400,64.56,64.56,64.56,64.56,4
AUDJPY,20010103,013500,64.56,64.56,64.55,64.55,4
AUDJPY,20010103,013600,64.54,64.54,64.53,64.53,4
AUDJPY,20010103,013700,64.52,64.52,64.52,64.52,4
AUDJPY,20010103,013800,64.52,64.52,64.52,64.52,4
AUDJPY,20010103,013900,64.52,64.52,64.52,64.52,4
AUDJPY,20010103,014000,64.52,64.52,64.52,64.52,4
AUDJPY,20010103,014100,64.52,64.52,64.52,64.52,4
AUDJPY,20010103,014200,64.53,64.53,64.51,64.51,4
AUDJPY,20010103,014300,64.51,64.51,64.50,64.50,4
AUDJPY,20010103,014400,64.50,64.50,64.50,64.50,4
AUDJPY,20010103,014500,64.50,64.50,64.50,64.50,4
AUDJPY,20010103,014600,64.50,64.50,64.50,64.50,4
AUDJPY,20010103,014700,64.50,64.50,64.49,64.49,4
AUDJPY,20010103,014800,64.49,64.49,64.49,64.49,4
AUDJPY,20010103,014900,64.49,64.49,64.48,64.48,4
AUDJPY,20010103,015000,64.48,64.48,64.48,64.48,4
AUDJPY,20010103,015100,64.48,64.48,64.47,64.47,4
AUDJPY,20010103,015200,64.47,64.47,64.47,64.47,4
AUDJPY,20010103,015300,64.47,64.47,64.47,64.47,4
AUDJPY,20010103,015400,64.47,64.47,64.47,64.47,4
AUDJPY,20010103,015500,64.47,64.47,64.47,64.47,4
AUDJPY,20010103,015600,64.47,64.47,64.47,64.47,4
AUDJPY,20010103,015700,64.47,64.47,64.47,64.47,4
AUDJPY,20010103,015800,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,015900,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,020000,64.47,64.47,64.47,64.47,4
AUDJPY,20010103,020100,64.47,64.47,64.46,64.46,4
AUDJPY,20010103,020200,64.46,64.46,64.45,64.45,4
AUDJPY,20010103,020300,64.44,64.44,64.44,64.44,4
AUDJPY,20010103,020400,64.44,64.44,64.44,64.44,4
AUDJPY,20010103,020500,64.44,64.44,64.44,64.44,4
AUDJPY,20010103,020600,64.45,64.45,64.45,64.45,4
AUDJPY,20010103,020700,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,020800,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,020900,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,021000,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,021100,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,021200,64.46,64.46,64.45,64.45,4
AUDJPY,20010103,021300,64.46,64.46,64.45,64.45,4
AUDJPY,20010103,021400,64.45,64.45,64.45,64.45,4
AUDJPY,20010103,021500,64.45,64.46,64.45,64.46,4
AUDJPY,20010103,021600,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,021700,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,021800,64.46,64.47,64.46,64.47,4
AUDJPY,20010103,021900,64.47,64.47,64.47,64.47,4
AUDJPY,20010103,022000,64.46,64.46,64.46,64.46,4
AUDJPY,20010103,022100,64.46,64.47,64.46,64.47,4
AUDJPY,20010103,022200,64.48,64.49,64.48,64.49,4
AUDJPY,20010103,022300,64.50,64.52,64.50,64.52,4
AUDJPY,20010103,022400,64.52,64.52,64.52,64.52,4
AUDJPY,20010103,022500,64.52,64.52,64.52,64.52,4
AUDJPY,20010103,022600,64.52,64.52,64.52,64.52,4
AUDJPY,20010103,022700,64.52,64.52,64.52,64.52,4
AUDJPY,20010103,022800,64.52,64.52,64.52,64.52,4
AUDJPY,20010103,022900,64.52,64.52,64.52,64.52,4
AUDJPY,20010103,023000,64.52,64.52,64.52,64.52,4
AUDJPY,20010103,023100,64.52,64.52,64.52,64.52,4
AUDJPY,20010103,023200,64.52,64.52,64.49,64.49,4
AUDJPY,20010103,023300,64.49,64.49,64.49,64.49,4
AUDJPY,20010103,023400,64.49,64.49,64.49,64.49,4
AUDJPY,20010103,023500,64.49,64.49,64.49,64.49,4
AUDJPY,20010103,023600,64.49,64.49,64.49,64.49,4
AUDJPY,20010103,023700,64.49,64.50,64.49,64.50,4
AUDJPY,20010103,023800,64.50,64.50,64.49,64.49,4
AUDJPY,20010103,023900,64.50,64.51,64.50,64.51,4
AUDJPY,20010103,024000,64.51,64.51,64.51,64.51,4
AUDJPY,20010103,024100,64.51,64.51,64.51,64.51,4
AUDJPY,20010103,024200,64.51,64.52,64.51,64.52,4
AUDJPY,20010103,024300,64.52,64.52,64.52,64.52,4
AUDJPY,20010103,024400,64.53,64.54,64.53,64.54,4
AUDJPY,20010103,024500,64.54,64.54,64.54,64.54,4
AUDJPY,20010103,024600,64.55,64.56,64.55,64.56,4
AUDJPY,20010103,024700,64.56,64.57,64.56,64.57,4
AUDJPY,20010103,024800,64.57,64.58,64.57,64.58,4
AUDJPY,20010103,024900,64.58,64.58,64.58,64.58,4
AUDJPY,20010103,025000,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,025100,64.58,64.58,64.58,64.58,4
AUDJPY,20010103,025200,64.58,64.58,64.58,64.58,4
AUDJPY,20010103,025300,64.58,64.58,64.58,64.58,4
AUDJPY,20010103,025400,64.58,64.58,64.58,64.58,4
AUDJPY,20010103,025500,64.58,64.60,64.58,64.60,4
AUDJPY,20010103,025600,64.60,64.62,64.60,64.62,4
AUDJPY,20010103,025700,64.62,64.63,64.62,64.63,4
AUDJPY,20010103,025800,64.63,64.64,64.63,64.64,4
AUDJPY,20010103,025900,64.64,64.64,64.63,64.63,4
AUDJPY,20010103,030000,64.64,64.64,64.64,64.64,4
AUDJPY,20010103,030100,64.65,64.65,64.65,64.65,4
AUDJPY,20010103,030200,64.65,64.65,64.65,64.65,4
AUDJPY,20010103,030300,64.65,64.65,64.65,64.65,4
AUDJPY,20010103,030400,64.65,64.65,64.65,64.65,4
AUDJPY,20010103,030500,64.65,64.65,64.65,64.65,4
AUDJPY,20010103,030600,64.65,64.65,64.65,64.65,4
AUDJPY,20010103,030700,64.65,64.67,64.65,64.67,4
AUDJPY,20010103,030800,64.67,64.69,64.67,64.69,4
AUDJPY,20010103,030900,64.70,64.73,64.70,64.73,4
AUDJPY,20010103,031000,64.74,64.75,64.74,64.75,4
AUDJPY,20010103,031100,64.75,64.75,64.75,64.75,4
AUDJPY,20010103,031200,64.75,64.75,64.74,64.74,4
AUDJPY,20010103,031300,64.74,64.74,64.72,64.72,4
AUDJPY,20010103,031400,64.72,64.72,64.70,64.70,4
AUDJPY,20010103,031500,64.70,64.70,64.70,64.70,4
AUDJPY,20010103,031600,64.70,64.70,64.70,64.70,4
AUDJPY,20010103,031700,64.70,64.70,64.70,64.70,4
AUDJPY,20010103,031800,64.70,64.70,64.69,64.69,4
AUDJPY,20010103,031900,64.69,64.69,64.69,64.69,4
AUDJPY,20010103,032000,64.69,64.69,64.69,64.69,4
AUDJPY,20010103,032100,64.69,64.70,64.69,64.70,4
AUDJPY,20010103,032200,64.70,64.71,64.70,64.71,4
AUDJPY,20010103,032300,64.71,64.71,64.71,64.71,4
AUDJPY,20010103,032400,64.71,64.71,64.71,64.71,4
AUDJPY,20010103,032500,64.71,64.71,64.71,64.71,4
AUDJPY,20010103,032600,64.71,64.72,64.70,64.72,4
AUDJPY,20010103,032700,64.72,64.73,64.72,64.73,4
AUDJPY,20010103,032800,64.73,64.74,64.73,64.74,4
AUDJPY,20010103,032900,64.75,64.75,64.75,64.75,4
AUDJPY,20010103,033000,64.75,64.75,64.73,64.73,4
AUDJPY,20010103,033100,64.72,64.72,64.72,64.72,4
AUDJPY,20010103,033200,64.72,64.72,64.72,64.72,4
AUDJPY,20010103,033300,64.71,64.71,64.71,64.71,4
AUDJPY,20010103,033400,64.71,64.71,64.71,64.71,4
AUDJPY,20010103,033500,64.71,64.71,64.70,64.70,4
AUDJPY,20010103,033600,64.69,64.69,64.69,64.69,4
AUDJPY,20010103,033700,64.69,64.69,64.68,64.68,4
AUDJPY,20010103,033800,64.67,64.67,64.67,64.67,4
AUDJPY,20010103,033900,64.67,64.67,64.66,64.66,4
AUDJPY,20010103,034000,64.66,64.66,64.66,64.66,4
AUDJPY,20010103,034100,64.65,64.65,64.64,64.64,4
AUDJPY,20010103,034200,64.63,64.63,64.62,64.62,4
AUDJPY,20010103,034300,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,034400,64.61,64.62,64.61,64.62,4
AUDJPY,20010103,034500,64.62,64.62,64.61,64.61,4
AUDJPY,20010103,034600,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,034700,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,034800,64.60,64.60,64.59,64.59,4
AUDJPY,20010103,034900,64.59,64.59,64.58,64.58,4
AUDJPY,20010103,035000,64.58,64.58,64.58,64.58,4
AUDJPY,20010103,035100,64.58,64.58,64.58,64.58,4
AUDJPY,20010103,035200,64.58,64.58,64.58,64.58,4
AUDJPY,20010103,035300,64.58,64.58,64.58,64.58,4
AUDJPY,20010103,035400,64.58,64.58,64.58,64.58,4
AUDJPY,20010103,035500,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,035600,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,035700,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,035800,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,035900,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,040000,64.60,64.61,64.60,64.61,4
AUDJPY,20010103,040100,64.62,64.62,64.60,64.60,4
AUDJPY,20010103,040200,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,040300,64.59,64.60,64.59,64.60,4
AUDJPY,20010103,040400,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,040500,64.60,64.60,64.57,64.58,4
AUDJPY,20010103,040600,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,040700,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,040800,64.59,64.60,64.59,64.60,4
AUDJPY,20010103,040900,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,041000,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,041100,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,041200,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,041300,64.61,64.63,64.61,64.63,4
AUDJPY,20010103,041400,64.63,64.63,64.62,64.62,4
AUDJPY,20010103,041500,64.62,64.63,64.62,64.63,4
AUDJPY,20010103,041600,64.62,64.62,64.62,64.62,4
AUDJPY,20010103,041700,64.61,64.61,64.60,64.60,4
AUDJPY,20010103,041800,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,041900,64.60,64.60,64.59,64.59,4
AUDJPY,20010103,042000,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,042100,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,042200,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,042300,64.59,64.60,64.59,64.60,4
AUDJPY,20010103,042400,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,042500,64.60,64.60,64.59,64.59,4
AUDJPY,20010103,042600,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,042700,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,042800,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,042900,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,043000,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,043100,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,043200,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,043300,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,043400,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,043500,64.60,64.60,64.59,64.59,4
AUDJPY,20010103,043600,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,043700,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,043800,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,043900,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,044000,64.59,64.61,64.59,64.61,4
AUDJPY,20010103,044100,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,044200,64.62,64.64,64.62,64.64,4
AUDJPY,20010103,044300,64.64,64.64,64.64,64.64,4
AUDJPY,20010103,044400,64.64,64.64,64.64,64.64,4
AUDJPY,20010103,044500,64.64,64.65,64.64,64.65,4
AUDJPY,20010103,044600,64.65,64.65,64.62,64.62,4
AUDJPY,20010103,044700,64.63,64.63,64.63,64.63,4
AUDJPY,20010103,044800,64.64,64.64,64.64,64.64,4
AUDJPY,20010103,044900,64.64,64.64,64.64,64.64,4
AUDJPY,20010103,045000,64.64,64.64,64.64,64.64,4
AUDJPY,20010103,045100,64.65,64.65,64.65,64.65,4
AUDJPY,20010103,045200,64.65,64.65,64.65,64.65,4
AUDJPY,20010103,045300,64.65,64.65,64.65,64.65,4
AUDJPY,20010103,045400,64.66,64.69,64.66,64.69,4
AUDJPY,20010103,045500,64.69,64.69,64.69,64.69,4
AUDJPY,20010103,045600,64.69,64.69,64.69,64.69,4
AUDJPY,20010103,045700,64.69,64.70,64.69,64.70,4
AUDJPY,20010103,045800,64.70,64.70,64.69,64.69,4
AUDJPY,20010103,045900,64.68,64.68,64.68,64.68,4
AUDJPY,20010103,050000,64.68,64.68,64.68,64.68,4
AUDJPY,20010103,050100,64.68,64.68,64.68,64.68,4
AUDJPY,20010103,050200,64.68,64.68,64.68,64.68,4
AUDJPY,20010103,050300,64.68,64.68,64.68,64.68,4
AUDJPY,20010103,050400,64.68,64.69,64.68,64.69,4
AUDJPY,20010103,050500,64.68,64.68,64.67,64.67,4
AUDJPY,20010103,050600,64.67,64.67,64.67,64.67,4
AUDJPY,20010103,050700,64.68,64.68,64.67,64.67,4
AUDJPY,20010103,050800,64.67,64.67,64.66,64.66,4
AUDJPY,20010103,050900,64.66,64.66,64.66,64.66,4
AUDJPY,20010103,051000,64.66,64.66,64.66,64.66,4
AUDJPY,20010103,051100,64.66,64.66,64.65,64.65,4
AUDJPY,20010103,051200,64.63,64.63,64.62,64.62,4
AUDJPY,20010103,051300,64.62,64.62,64.62,64.62,4
AUDJPY,20010103,051400,64.62,64.62,64.62,64.62,4
AUDJPY,20010103,051500,64.62,64.62,64.60,64.60,4
AUDJPY,20010103,051600,64.59,64.59,64.59,64.59,4
AUDJPY,20010103,051700,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,051800,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,051900,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,052000,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,052100,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,052200,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,052300,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,052400,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,052500,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,052600,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,052700,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,052800,64.60,64.60,64.59,64.59,4
AUDJPY,20010103,052900,64.58,64.58,64.58,64.58,4
AUDJPY,20010103,053000,64.58,64.58,64.58,64.58,4
AUDJPY,20010103,053100,64.58,64.58,64.58,64.58,4
AUDJPY,20010103,053200,64.58,64.59,64.58,64.59,4
AUDJPY,20010103,053300,64.59,64.60,64.59,64.60,4
AUDJPY,20010103,053400,64.60,64.61,64.60,64.61,4
AUDJPY,20010103,053500,64.61,64.61,64.60,64.60,4
AUDJPY,20010103,053600,64.60,64.61,64.60,64.61,4
AUDJPY,20010103,053700,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,053800,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,053900,64.61,64.62,64.61,64.62,4
AUDJPY,20010103,054000,64.62,64.62,64.62,64.62,4
AUDJPY,20010103,054100,64.62,64.62,64.62,64.62,4
AUDJPY,20010103,054200,64.62,64.62,64.62,64.62,4
AUDJPY,20010103,054300,64.62,64.62,64.62,64.62,4
AUDJPY,20010103,054400,64.63,64.63,64.63,64.63,4
AUDJPY,20010103,054500,64.63,64.63,64.63,64.63,4
AUDJPY,20010103,054600,64.63,64.63,64.63,64.63,4
AUDJPY,20010103,054700,64.63,64.63,64.63,64.63,4
AUDJPY,20010103,054800,64.63,64.63,64.63,64.63,4
AUDJPY,20010103,054900,64.63,64.63,64.63,64.63,4
AUDJPY,20010103,055000,64.62,64.62,64.61,64.61,4
AUDJPY,20010103,055100,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,055200,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,055300,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,055400,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,055500,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,055600,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,055700,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,055800,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,055900,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,060000,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,060100,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,060200,64.60,64.61,64.60,64.61,4
AUDJPY,20010103,060300,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,060400,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,060500,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,060600,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,060700,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,060800,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,060900,64.61,64.61,64.61,64.61,4
AUDJPY,20010103,061000,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,061100,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,061200,64.60,64.60,64.60,64.60,4
AUDJPY,20010103,061300,64.61,64.61,64.60,64.60,4
